src,dest
/wiki/Green_tea,/wiki/Ujeon
/wiki/Green_tea,/wiki/Hwangcha
/wiki/Green_tea,/wiki/Hadong_County
/wiki/Green_tea,/wiki/Garakgukgi
/wiki/Green_tea,/wiki/Memorabilia_of_the_Three_Kingdoms
/wiki/Green_tea,/wiki/Heo_Hwang-ok
/wiki/Green_tea,/wiki/Ayodhya
/wiki/Green_tea,/wiki/Suro_of_Geumgwan_Gaya
/wiki/Green_tea,/wiki/India
/wiki/Green_tea,/wiki/Changwon
/wiki/Green_tea,/wiki/Yeonggwang_County
/wiki/Green_tea,/wiki/Naju
/wiki/Green_tea,/wiki/Hwaeomsa
/wiki/Green_tea,/wiki/Gurye_County
/wiki/Green_tea,/wiki/Goryeo
/wiki/Green_tea,/wiki/Joseon_Dynasty
/wiki/Green_tea,/wiki/Jesa
/wiki/Green_tea,/wiki/Charye
/wiki/Green_tea,/wiki/Darye
/wiki/Green_tea,/wiki/House_of_Yi
/wiki/Green_tea,/wiki/Korea_under_Japanese_rule
/wiki/Green_tea,/wiki/Korean_War
/wiki/Green_tea,/wiki/Tariff-rate_quota
/wiki/Green_tea,/wiki/Coffee_bean
/wiki/Green_tea,/wiki/Guyu
/wiki/Green_tea,/wiki/Lixia
/wiki/Green_tea,/wiki/Jakseol
/wiki/Green_tea,/wiki/Passer_montanus
/wiki/Green_tea,/wiki/Tea_bag
/wiki/Green_tea,/wiki/Ipcha
/wiki/Green_tea,/wiki/Powdered_tea
/wiki/Green_tea,/wiki/Garucha
/wiki/Green_tea,/wiki/Deokkeum-cha
/wiki/Green_tea,/wiki/Jeungje-cha
/wiki/Green_tea,/wiki/Korean_temple_cuisine
/wiki/Green_tea,/wiki/Boseong_County
/wiki/Green_tea,/wiki/South_Jeolla_Province
/wiki/Green_tea,/wiki/South_Gyeongsang_Province
/wiki/Green_tea,/wiki/Jejudo
/wiki/Green_tea,/wiki/Praj%C3%B1%C4%81_(Buddhism)
/wiki/Green_tea,/wiki/Gimhae
/wiki/Green_tea,/wiki/Jinju
/wiki/Green_tea,/wiki/Hyeonmi-nokcha
/wiki/Green_tea,/wiki/Hyeonmi-cha
/wiki/Green_tea,/wiki/Korean_tea
/wiki/Green_tea,/wiki/List_of_ineffective_cancer_treatments
/wiki/Green_tea,/wiki/List_of_Chinese_teas
/wiki/Green_tea,/wiki/Potential_effects_of_tea_on_health
/wiki/Green_tea,/wiki/Sinecatechins
/wiki/Green_tea,/wiki/White_tea
/wiki/Green_tea,/wiki/Yellow_tea
/wiki/Green_tea,/wiki/Asahi_Shimbun
/wiki/Green_tea,/wiki/National_Bureau_of_Statistics_of_China
/wiki/Green_tea,/wiki/Brother_Anthony
/wiki/Green_tea,/wiki/Naver
/wiki/Green_tea,/wiki/Food_and_Agriculture_Organization_Corporate_Statistical_Database
/wiki/Green_tea,/wiki/Food_and_Agriculture_Organization_of_the_United_Nations
/wiki/Green_tea,/wiki/Segye_Ilbo
/wiki/Green_tea,/wiki/Maeil_Business_Newspaper
/wiki/Green_tea,/wiki/The_Korea_Herald
/wiki/Green_tea,/wiki/Korean_Overseas_Culture_and_Information_Service
/wiki/Green_tea,/wiki/Standard_Korean_Language_Dictionary
/wiki/Green_tea,/wiki/National_Institute_of_Korean_Language
/wiki/Green_tea,/wiki/Korea_Tourism_Organization
/wiki/Green_tea,/wiki/Assam_tea
/wiki/Green_tea,/wiki/Wuyi_tea
/wiki/Green_tea,/wiki/Tea_production_in_Sri_Lanka#Ceylon_black_tea
/wiki/Green_tea,/wiki/Congou
/wiki/Green_tea,/wiki/Darjeeling_tea
/wiki/Green_tea,/wiki/Dianhong
/wiki/Green_tea,/wiki/Golden_Monkey_tea
/wiki/Green_tea,/wiki/Jin_Jun_Mei_tea
/wiki/Green_tea,/wiki/Kangra_tea
/wiki/Green_tea,/wiki/Keemun
/wiki/Green_tea,/wiki/Nilgiri_tea
/wiki/Green_tea,/wiki/Sikkim_tea
/wiki/Green_tea,/wiki/Tibeti
/wiki/Green_tea,/wiki/Rize_tea
/wiki/Green_tea,/wiki/Yingdehong_tea
/wiki/Green_tea,/wiki/Oolong
/wiki/Green_tea,/wiki/Bai_Jiguan_tea
/wiki/Green_tea,/wiki/Ban_Tian_Yao_tea
/wiki/Green_tea,/wiki/Bu_Zhi_Chun_tea
/wiki/Green_tea,/wiki/Da_Hong_Pao
/wiki/Green_tea,/wiki/Dong_Ding_tea
/wiki/Green_tea,/wiki/Dongfang_meiren
/wiki/Green_tea,/wiki/High-mountain_tea
/wiki/Green_tea,/wiki/Huangjin_Gui
/wiki/Green_tea,/wiki/Huang_Meigui_tea
/wiki/Green_tea,/wiki/Jin_Xuan_tea
/wiki/Green_tea,/wiki/Qilan_tea
/wiki/Green_tea,/wiki/Pouchong
/wiki/Green_tea,/wiki/Rougui_tea
/wiki/Green_tea,/wiki/Ruanzhi_tea
/wiki/Green_tea,/wiki/Shui_Jin_Gui_tea
/wiki/Green_tea,/wiki/Shui_Hsien_tea
/wiki/Green_tea,/wiki/Tieluohan_tea
/wiki/Green_tea,/wiki/Tieguanyin
/wiki/Green_tea,/wiki/Anji_bai_cha
/wiki/Green_tea,/wiki/Baimao_Hou
/wiki/Green_tea,/wiki/Dafang_tea
/wiki/Green_tea,/wiki/Hyson
/wiki/Green_tea,/wiki/Sencha#Kabusecha
/wiki/Green_tea,/wiki/Kamairicha
/wiki/Green_tea,/wiki/Konacha
/wiki/Green_tea,/wiki/Xinyang_Maojian_tea
/wiki/Green_tea,/wiki/Mecha_(tea)
/wiki/Green_tea,/wiki/Mengding_Ganlu_tea
/wiki/Green_tea,/wiki/Sencha#Shincha
/wiki/Green_tea,/wiki/Tamaryokucha
/wiki/Green_tea,/wiki/Baimudan_tea
/wiki/Green_tea,/wiki/Baihao_Yinzhen
/wiki/Green_tea,/wiki/Shoumei_tea
/wiki/Green_tea,/wiki/Junshan_Yinzhen
/wiki/Green_tea,/wiki/Huoshan_Huangya_tea
/wiki/Green_tea,/wiki/Fermented_tea
/wiki/Green_tea,/wiki/Pu%27er_tea
/wiki/Green_tea,/wiki/Doncha
